req_id,title,design_refs,code_paths,tests,status,phase,last_verified
FR-1001,MCP tools be reachable only through mcp-gateway with an explicit allowlist,docs/MCP_SECURITY.md#3-tool-classification,,,planned,15,
FR-1002,"Tool output be treated as untrusted data with provenance, never as instructions",,,,planned,15,
FR-1003,Write-capable or untrusted tools sit behind an approval gate,,,,planned,15,
FR-1004,"Every tool call be audited with arguments, result hash, latency and actor",,,,planned,15,
FR-1005,LLM providers be swappable through configuration without domain-code changes,docs/SECURITY.md#4-secrets|docs/adr/ADR-017-secret-provider-docker-secrets.md#adr-017-dockerswarm-secrets-as-the-secret-provider,,backend/tests/contracts/test_registry_exit_gate.py::test_same_agent_runs_against_two_providers_and_mock_with_traceable_records|backend/tests/unit/test_llm_application.py::test_registry_call_records_keep_insertion_order|backend/tests/unit/test_llm_application.py::test_registry_credential_envelope_round_trip_is_lossless|backend/tests/unit/test_llm_application.py::test_registry_definition_versioning_deprecates_the_previous_version|backend/tests/unit/test_llm_application.py::test_registry_definition_versioning_rejects_invalid_successors|backend/tests/unit/test_llm_application.py::test_runner_does_not_record_a_call_without_provider_response|backend/tests/unit/test_llm_application.py::test_runner_persists_normalized_cost_usage_and_trace,planned,1,
FR-101,A user be able to define a complex problem in natural language and open a reasoning session for it,docs/API.md#41-sessions-and-rounds|docs/REQUIREMENTS.md#1-problem-framing-and-sessions,backend/app/api/routes/phase3.py|frontend/src/api/client.ts|frontend/src/features/reasoning/new-session-page.tsx|frontend/src/features/reasoning/reasoning-page.tsx,backend/tests/integration/test_phase3_api.py::test_phase3_http_create_read_and_replay_are_atomic|frontend/src/api/client.test.ts::50:2::sends authenticated idempotent session creates|frontend/src/app/router.test.ts::10:2::round-trips every known route|frontend/src/app/router.test.ts::5:2::falls back to the reasoning desk for unknown routes|frontend/src/features/reasoning/live-reasoning-page.test.tsx::103:2::starts and monitors an API-backed draft without showing sample evidence|frontend/src/features/reasoning/reasoning-page.test.tsx::84:2::walks through FR-101 and visibly flags an unsupported FR-305 claim,implemented,3,local-2026-09-05
FR-102,"A session bind, at creation, to a problem statement, agent set, objective set, constraint set and resource budget",docs/DATA_MODEL.md#5-sessions-and-phase-3-binding|docs/REQUIREMENTS.md#31-phase-3-acceptance-boundary-frozen,backend/app/api/routes/phase3.py|backend/app/domain/session_binding.py|frontend/src/api/client.ts|frontend/src/features/reasoning/new-session-page.tsx,backend/tests/integration/test_reasoning_persistence.py::test_api_idempotency_is_durable_and_forced_rls_isolated|backend/tests/integration/test_reasoning_persistence.py::test_committed_transition_wakes_sse_but_replays_from_postgres_ledger|backend/tests/integration/test_reasoning_persistence.py::test_concurrent_ledger_appends_are_gapless_and_chain_verifies|backend/tests/integration/test_reasoning_persistence.py::test_deferred_session_binding_completeness_and_artifact_kind|backend/tests/integration/test_reasoning_persistence.py::test_forced_rls_isolates_every_phase_3_table|backend/tests/integration/test_reasoning_persistence.py::test_forced_rls_isolates_graph_tables|backend/tests/integration/test_reasoning_persistence.py::test_forced_rls_isolates_ledger_tables|backend/tests/integration/test_reasoning_persistence.py::test_graph_deferred_tenant_kind_and_endpoint_validation|backend/tests/integration/test_reasoning_persistence.py::test_graph_endpoint_function_matches_the_closed_phase_3_matrix|backend/tests/integration/test_reasoning_persistence.py::test_graph_store_keeps_artifact_projection_writes_atomic|backend/tests/integration/test_reasoning_persistence.py::test_graph_uniqueness_and_self_loop_constraints|backend/tests/integration/test_reasoning_persistence.py::test_jsonb_payload_decimal_and_envelope_validation|backend/tests/integration/test_reasoning_persistence.py::test_ledger_append_retry_read_verify_and_rollback|backend/tests/integration/test_reasoning_persistence.py::test_ledger_detects_tampering_and_database_rejects_mutation|backend/tests/integration/test_reasoning_persistence.py::test_lifecycle_transition_and_ledger_append_are_atomic_idempotent_and_rls_safe|backend/tests/integration/test_reasoning_persistence.py::test_membership_history_and_durable_usage_are_tenant_safe_and_append_only|backend/tests/integration/test_reasoning_persistence.py::test_phase3_database_schema_matches_documented_manifest|backend/tests/integration/test_reasoning_persistence.py::test_reasoning_revision_downgrades_reupgrades_and_has_no_drift|backend/tests/integration/test_reasoning_persistence.py::test_subgraph_radius_two_reaches_neighbors_of_neighbors_only|backend/tests/integration/test_reasoning_persistence.py::test_tenant_session_foreign_keys_revision_chain_and_references|backend/tests/integration/test_reasoning_persistence.py::test_trace_backward_and_forward_survive_a_supersedes_cycle_without_duplicates|backend/tests/integration/test_reasoning_persistence.py::test_trace_backward_depth_zero_returns_only_the_root_with_no_edges|backend/tests/integration/test_reasoning_persistence.py::test_trace_backward_truncates_before_reaching_the_full_cycle|backend/tests/integration/test_reasoning_persistence.py::test_trace_forward_filters_by_edge_type|backend/tests/integration/test_reasoning_persistence.py::test_trace_forward_paginates_deterministically_and_binds_cursor_to_query|backend/tests/integration/test_reasoning_persistence.py::test_traversal_stays_within_workspace_and_session_boundaries|backend/tests/unit/test_session_binding.py::test_constructs_complete_immutable_draft_binding|backend/tests/unit/test_session_binding.py::test_rejects_incomplete_duplicate_or_cross_tenant_bindings|backend/tests/unit/test_session_binding.py::test_rejects_invalid_budget_bounds|backend/tests/unit/test_session_binding.py::test_rejects_non_draft_or_malformed_session_values|backend/tests/unit/test_session_binding.py::test_timestamps_are_aware_and_normalized_to_utc|backend/tests/unit/test_session_binding.py::test_typed_bindings_reject_wrong_artifact_kind|frontend/src/api/client.test.ts::50:2::sends authenticated idempotent session creates,implemented,3,local-2026-09-05
FR-103,"The system decompose a problem into structured Proposition sub-questions, not prose",docs/PHASE6_ACCEPTANCE.md#1-boundary|docs/REQUIREMENTS.md#31-phase-3-acceptance-boundary-frozen|docs/STRUCTURED_REASONING.md#3-fact-claim-assumption-inference-opinion-hypothesis,backend/app/api/phase3_contracts.py|backend/app/application/decomposition.py|backend/app/domain/reasoning.py,backend/tests/integration/test_phase3_api.py::test_phase3_http_create_read_and_replay_are_atomic|backend/tests/unit/test_decomposition.py::test_decomposition_rejects_empty_mixed_requested_unpinned_ambiguous_or_duplicate_output|backend/tests/unit/test_decomposition.py::test_decomposition_requires_explicit_decompose_phase|backend/tests/unit/test_decomposition.py::test_decomposition_returns_only_unique_pinned_structured_propositions|backend/tests/unit/test_reasoning.py::test_accepts_each_uncertainty_representation|backend/tests/unit/test_reasoning.py::test_artifact_and_uncertainty_unions_expose_discriminators|backend/tests/unit/test_reasoning.py::test_bounded_decimal_fields_reject_invalid_values|backend/tests/unit/test_reasoning.py::test_canonical_json_uses_utf16_order_and_stable_hash|backend/tests/unit/test_reasoning.py::test_consensus_gate_rejects_ambiguous_propositions|backend/tests/unit/test_reasoning.py::test_consensus_gate_returns_non_ambiguous_proposition|backend/tests/unit/test_reasoning.py::test_discriminator_selects_variant_and_valid_revision|backend/tests/unit/test_reasoning.py::test_immutable_content_changes_hash_but_row_identity_does_not|backend/tests/unit/test_reasoning.py::test_lifecycle_fields_do_not_change_content_identity|backend/tests/unit/test_reasoning.py::test_models_are_frozen_closed_and_decimal_strings_normalize|backend/tests/unit/test_reasoning.py::test_negative_zero_decimal_is_canonicalized|backend/tests/unit/test_reasoning.py::test_open_json_values_are_deeply_immutable|backend/tests/unit/test_reasoning.py::test_proposition_normalization_identity_is_deterministic_and_versioned|backend/tests/unit/test_reasoning.py::test_proposition_normalization_status_is_closed|backend/tests/unit/test_reasoning.py::test_rejects_invalid_envelope_combinations|backend/tests/unit/test_reasoning.py::test_rejects_kind_payload_mismatch_and_tampered_hash|backend/tests/unit/test_reasoning.py::test_source_references_are_closed_complete_and_timezone_aware|backend/tests/unit/test_reasoning.py::test_uncertainty_representation_is_discriminated,implemented,3,local-2026-09-06
FR-104,"A session be pausable, resumable, cancellable and restartable by a user",,frontend/src/api/client.ts|frontend/src/features/reasoning/reasoning-page.tsx,backend/tests/unit/test_session_control.py::test_control_ids_are_stable_and_content_scoped|backend/tests/unit/test_session_control.py::test_control_transitions_follow_lifecycle_graph|backend/tests/unit/test_session_control.py::test_directives_are_strict_and_require_matching_command_kind|backend/tests/unit/test_session_control.py::test_illegal_control_and_terminal_replay_are_rejected|backend/tests/unit/test_session_control.py::test_request_validation_uses_postgres_projection_state|backend/tests/unit/test_session_control.py::test_signal_delivery_and_activity_retry_commit_once|backend/tests/unit/test_session_control_api.py::test_controls_require_write_role_and_replay_only_identical_requests|backend/tests/unit/test_session_control_api.py::test_human_input_rejects_malformed_and_missing_or_cross_session_artifacts|backend/tests/unit/test_session_control_api.py::test_legacy_terminate_enqueues_typed_cancel_without_deleting_history|backend/tests/unit/test_session_lifecycle.py::test_inmemory_transition_is_atomic_and_exact_event_retry_is_idempotent|backend/tests/unit/test_session_lifecycle.py::test_retry_after_attachment_rollback_reattaches_original_run_and_input|backend/tests/unit/test_session_lifecycle.py::test_transition_graph_allows_only_single_round_advance_into_running|backend/tests/unit/test_session_lifecycle.py::test_transition_graph_rejects_skips_and_terminal_restarts|frontend/src/api/client.test.ts::189:2::maps legacy termination to its typed compatibility endpoint|frontend/src/features/reasoning/live-reasoning-page.test.tsx::147:2::submits typed human guidance to a running API session|frontend/src/features/reasoning/live-reasoning-page.test.tsx::67:2::supports session control and durable human guidance,planned,4,
FR-105,A session continue to completion if the browser closes or the API restarts,,frontend/src/api/client.ts|frontend/src/features/reasoning/reasoning-page.tsx,backend/tests/contracts/test_workflow_engine.py::test_commands_are_validated_and_closed_adapter_fails_loudly|backend/tests/contracts/test_workflow_engine.py::test_inmemory_adapter_satisfies_workflow_engine_contract|backend/tests/contracts/test_workflow_engine.py::test_workflow_input_is_strict_versioned_json|backend/tests/integration/test_temporal_workflow.py::test_production_bootstrap_runs_activity_with_stable_id_and_waits_durably|backend/tests/integration/test_temporal_workflow.py::test_temporal_adapter_satisfies_workflow_engine_contract|backend/tests/integration/test_temporal_workflow.py::test_temporal_worker_polls_and_completes_test_workflow|backend/tests/integration/test_temporal_workflow.py::test_worker_restart_retries_same_identity_without_duplicate_committed_effect|backend/tests/unit/test_session_bootstrap_workflow.py::test_activity_decodes_strict_transition_and_delegates_io|backend/tests/unit/test_session_bootstrap_workflow.py::test_bootstrap_retry_exhaustion_commits_structured_dead_letter|backend/tests/unit/test_session_bootstrap_workflow.py::test_control_retry_exhaustion_commits_structured_dead_letter|backend/tests/unit/test_session_bootstrap_workflow.py::test_workflow_deduplicates_controls_and_discards_stale_commands|backend/tests/unit/test_session_bootstrap_workflow.py::test_workflow_definition_prepares_in_temporal_sandbox|backend/tests/unit/test_session_bootstrap_workflow.py::test_workflow_module_has_no_nondeterministic_io_or_identity_generation|backend/tests/unit/test_session_bootstrap_workflow.py::test_workflow_reuses_input_event_identity_and_enters_durable_wait|backend/tests/unit/test_session_start_api.py::test_start_returns_202_and_replays_stable_execution_identity|backend/tests/unit/test_temporal_workflow.py::test_describe_maps_transport_state_without_session_semantics|backend/tests/unit/test_temporal_workflow.py::test_health_reflects_service_and_adapter_lifecycle|backend/tests/unit/test_temporal_workflow.py::test_raw_rpc_errors_never_escape|backend/tests/unit/test_temporal_workflow.py::test_raw_runtime_errors_never_escape|backend/tests/unit/test_temporal_workflow.py::test_signal_sends_single_versioned_envelope_with_rpc_timeout|backend/tests/unit/test_temporal_workflow.py::test_start_pins_duplicate_policies_and_normalizes_duplicate|backend/tests/unit/test_workflow_worker.py::test_inmemory_worker_run_stops_on_shutdown|backend/tests/unit/test_workflow_worker.py::test_production_composition_registers_bootstrap_definitions|backend/tests/unit/test_workflow_worker.py::test_temporal_worker_never_leaks_runtime_failure|backend/tests/unit/test_workflow_worker.py::test_temporal_worker_requires_definitions|backend/tests/unit/test_workflow_worker.py::test_temporal_wrapper_delegates_run_and_shutdown|frontend/src/api/client.test.ts::110:2::starts a session without synthesizing a request body|frontend/src/app/app.test.tsx::71:2::restores the active session after a browser close|frontend/src/features/reasoning/live-reasoning-page.test.tsx::103:2::starts and monitors an API-backed draft without showing sample evidence,planned,4,
FR-106,Reopening a session restore full state from PostgreSQL plus replay of missed events,,frontend/src/api/client.ts|frontend/src/features/reasoning/reasoning-page.tsx,backend/tests/integration/test_nats_event_bus.py::test_publish_subscribe_redelivery_is_idempotent_by_event_id|backend/tests/unit/test_realtime.py::test_event_envelope_uses_ledger_order_not_transport_order|backend/tests/unit/test_realtime.py::test_post_commit_publish_preserves_ledger_sequence_and_filters_bodies|backend/tests/unit/test_realtime.py::test_resume_stream_reads_only_ledger_rows_after_cursor|backend/tests/unit/test_realtime_api.py::test_stream_is_authenticated_and_last_event_id_overrides_query_cursor|frontend/src/api/client.test.ts::165:2::reads an authenticated session projection|frontend/src/api/client.test.ts::215:2::sends bearer auth and parses SSE frames split across chunks|frontend/src/app/app.test.tsx::71:2::restores the active session after a browser close|frontend/src/features/reasoning/live-reasoning-page.test.tsx::103:2::starts and monitors an API-backed draft without showing sample evidence|frontend/src/features/reasoning/live-reasoning-page.test.tsx::192:2::renders ordered ledger events once and refreshes authoritative state,planned,4,
FR-107,Every session terminate with exactly one explicit termination reason,,frontend/src/api/client.ts,backend/tests/unit/test_session_lifecycle.py::test_inmemory_transition_is_atomic_and_exact_event_retry_is_idempotent|backend/tests/unit/test_session_lifecycle.py::test_retry_after_attachment_rollback_reattaches_original_run_and_input|backend/tests/unit/test_session_lifecycle.py::test_transition_graph_allows_only_single_round_advance_into_running|backend/tests/unit/test_session_lifecycle.py::test_transition_graph_rejects_skips_and_terminal_restarts|frontend/src/api/client.test.ts::189:2::maps legacy termination to its typed compatibility endpoint,planned,4,
FR-108,A user be able to change the agent set before round 1 and inject agents mid-session as a recorded event,docs/PHASE6_ACCEPTANCE.md#3-requirement-disposition|docs/REQUIREMENTS.md#1-problem-framing-and-sessions,,backend/tests/unit/test_coordinator_policy.py::test_durable_token_aggregate_rejects_non_integer_adapter_values|backend/tests/unit/test_coordinator_policy.py::test_membership_rejects_bad_timing_inactive_and_duplicate_logical_agent|backend/tests/unit/test_coordinator_policy.py::test_mid_session_injection_only_appears_in_next_round|backend/tests/unit/test_coordinator_policy.py::test_persisted_agent_budget_requires_exact_integer_tokens|backend/tests/unit/test_coordinator_policy.py::test_postgres_numeric_token_aggregates_cross_the_strict_domain_boundary|backend/tests/unit/test_coordinator_policy.py::test_pre_round_replacement_is_ledgered_and_effective_in_round_one,planned,6,
